form	lemma	POS	morph
སྐབས་	སྐབས་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
		
རྗེས་	རྗེས་	NOUN
ལ་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་	ལ་	PART
།།		PUNCT
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
དགུ་	དགུ་	NUM
ཡི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
འདི་	འདི་	DET
།།		PUNCT
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
ཀྱི་	གི་	PART
རྟེན་	རྟེན་	NOUN
ཅན་	ཅན་	PART
ཏེ་	སྟེ་	PART
།།		PUNCT
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	PART
འབྱུང་	འབྱུང་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
རྫ་	རྫ་	NOUN
འཛིན་	འཛིན་	VERB
གྱི་	གི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
དགུ་	དགུ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
འཛིན་པ་	འཛིན་པ་	VERB
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
འདོར་བ་	འདོར་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	PART
བྱེད་	བྱེད་	VERB
དང་	དང་	NO_POS
ཁམས་	ཁམས་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
།།		PUNCT
གསུམ་པོ་	གསུམ་པོ་	NUM
དག་	དག་	DET
དང་	དང་	NO_POS
ཉེ་འབྲེལ་	ཉེ་འབྲེལ་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
གནས་	གནས་	NOUN
དང་	དང་	NO_POS
མངོན་པ་	མངོན་པ་	OTHER
ཞེན་པ་	ཞེན་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དངོས་པོ་	དངོས་པོ་	NOUN
བརྟགས་པ་	བརྟགས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཆགས་པ་	ཆགས་པ་	VERB
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
གཉེན་པོ་	གཉེན་པོ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
ཇི་ལྟ་		
འདོད་	འདོད་	VERB
བཞིན་	བཞིན་	NOUN
འགྲོ་	འགྲོ་	VERB
ཉམས་	ཉམས་	NOUN
ལ་	ལ་	PART
།།		PUNCT
འཛིན་པ་	འཛིན་པ་	VERB
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
བཏགས་	བཏགས་	VERB
འཛིན་	འཛིན་	VERB
གྱི་	གི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
དགུ་	དགུ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
ཆེད་	ཆེད་	NOUN
བཞིན་	བཞིན་	NOUN
ངེས་པ་		
མི་	མི་	PART
འབྱུང་	འབྱུང་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ལམ་	གམ་	PART
ལ་	ལ་	PART
ལམ་	གམ་	PART
མིན་	མིན་	AUX
ངེས་འཛིན་	ངེས་འཛིན་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
འགག་	འགག་	VERB
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དངོས་པོ་	དངོས་པོ་	NOUN
ལྡན་	ལྡན་	VERB
དང་	དང་	NO_POS
མི་	མི་	PART
ལྡན་	ལྡན་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
གནས་	གནས་	NOUN
དང་	དང་	NO_POS
རིགས་	རིགས་	NOUN
ནི་	ནི་	NO_POS
འཛིན་པ་	འཛིན་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དོན་	དོན་	NOUN
དུ་	ལ་	PART
གཉེར་	གཉེར་	VERB
དང་	དང་	NO_POS
རྒྱུ་	རྒྱུ་	NOUN
མེད་	མེད་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཕྱིར་རྒོལ་བ་	ཕྱིར་རྒོལ་བ་	NO_POS
ནི་	ནི་	NO_POS
དམིགས་པ་	དམིགས་པ་	VERB
ལ་	ལ་	PART
།།		PUNCT
འཛིན་པ་	འཛིན་པ་	VERB
འི་	གི་	PART
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
གཞན་	གཞན་	DET
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
གྲོག་	གྲོག་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ལ་	ལ་	PART
གཞན་	གཞན་	DET
སྟོན་པ་	སྟོན་པ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
ཡི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ནི་	ནི་	NO_POS
ཡོངས་	ཡོངས་	DET
གཏོང་	གཏོང་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
ཐོབ་	ཐོབ་	VERB
བར་ཆད་	བར་ཆད་	NOUN
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
།།		PUNCT
བསོད་ནམས་	བསོད་ནམས་	NOUN
མང་པོ་	མང་པོ་	ADJ
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དོ་	གོ་	PART
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
འབྲས་བུ་	འབྲས་བུ་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
དྲི་མ་	དྲི་མ་	NOUN
ཟད་	ཟད་	VERB
དང་	དང་	NO_POS
མི་	མི་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འི་	གི་	PART
།།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཅེས་	ཅེས་	PART
བརྗོད་	བརྗོད་	VERB
དོ་	གོ་	PART
།།		PUNCT
ཟད་	ཟད་	VERB
མེད་	མེད་	VERB
སྐྱེ་	སྐྱེ་	NOUN
མེད་	མེད་	VERB
ཕྱི་	ཕྱི་	OTHER
དེ་དག་	དེ་དག་	OTHER
།		PUNCT
གོ་རིམས་	གོ་རིམས་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།།		PUNCT
		
འགོག་པ་	འགོག་པ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
ལ་	ལ་	PART
།།		PUNCT
མཐོང་	མཐོང་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
གྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྟོག་	རྟོག་	VERB
རིགས་	རིགས་	NOUN
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
ཟད་	ཟད་	VERB
།།		PUNCT
སྐྱེ་	སྐྱེ་	NOUN
མེད་	མེད་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
འཐོབ་	འཐོབ་	VERB
།།		PUNCT
		
གཞན་	གཞན་	DET
གྱིས་	གིས་	PART
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱང་	ཀྱང་	PART
ཡོད་	ཡོད་	VERB
ལ་	ལ་	PART
།།		PUNCT
ཤེས་བྱ་	ཤེས་བྱ་	VERB
ལ་	ལ་	PART
ཡང་	ཀྱང་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
ཡི་	གི་	PART
།།		PUNCT
སྒྲིབ་པ་	སྒྲིབ་པ་	VERB
ཟད་པ་		
བརྗོད་པ་	བརྗོད་པ་	VERB
གང་	གང་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
ཁོ་བོ་	ཁོ་བོ་	PRON
ས་	གིས་	PART
མཚའ་	མཚའ་	VERB
དུ་	ལ་	PART
བརྩིས་	བརྩིས་	NO_POS
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
རྩེ་མོ་	རྩེ་མོ་	NOUN
འི་	གི་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
བསལ་	བསལ་	VERB
བྱ་	བྱ་	VERB
ཅི་ཡང་	ཅི་ཡང་	OTHER
མེད་	མེད་	VERB
།།		PUNCT
གཞག་པ་	གཞག་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
ཅུང་ཟད་	ཅུང་ཟད་	ADV
མེད་	མེད་	VERB
།།		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
ཡང་དག་	ཡང་དག་	ADJ
ལྟ་	ལྟ་	NOUN
།།		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
མཐོང་	མཐོང་	VERB
ན་	ལ་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
གྲོལ་	གྲོལ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
ལྔ་པ་	ལྔ་པ་	NUM
མཐོང་ལམ་	མཐོང་ལམ་	NOUN
རྩེ་སྦྱོར་	རྩེ་སྦྱོར་	NO_POS
ངོ་བོ་	ངོ་བོ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
སྦྱིན་པ་	སྦྱིན་པ་	VERB
ལ་སོགས་	ལ་སོགས་	NO_POS
རེ་རེ་	རེ་རེ་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
།།		PUNCT
དེ་དག་	དེ་དག་	OTHER
ཕན་ཚུན་	ཕན་ཚུན་	ADV
བསྡུས་པ་	བསྡུས་པ་	VERB
གང་	གང་	NO_POS
།།		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
གཅིག་པ་	གཅིག་པ་	ADJ
འི་	གི་	PART
བཟོད་པ་	བཟོད་པ་	VERB
ཡི་	གིས་	PART
།།		PUNCT
བསྡུས་པ་	བསྡུས་པ་	VERB
དེ་	སྟེ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
མཐོང་བ་	མཐོང་བ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
དྲུག་པ་	དྲུག་པ་	NUM
དེ་	དེ་	DET
འི་	གི་	PART
བསྒོམ་པ་	བསྒོམ་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
སེང་གེ་	སེང་གེ་	NOUN
རྣམ་	རྣམ་	NOUN
བསྒྱིངས་པ་	བསྒྱིངས་པ་	NO_POS
འི་	གི་	PART
།།		PUNCT
ཏིང་ངེ་འཛིན་	ཏིང་ངེ་འཛིན་	NOUN
ལ་	ལ་	PART
སྙོམས་	སྙོམས་	VERB
ཞུགས་	ཞུགས་	VERB
ན་	ནས་	PART
།།		PUNCT
རྟེན་	རྟེན་	NOUN
ཅིང་	ཅིང་	PART
འབྲེལ་	འབྲེལ་	VERB
འབྱུང་	འབྱུང་	VERB
ལུགས་མཐུན་	ལུགས་མཐུན་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
ལུགས་	ལུགས་	NOUN
མི་	མི་	PART
མཐུན་	མཐུན་	VERB
ལ་	ལ་	PART
རྟོག་པ་	རྟོག་པ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
བསྒོམ་	བསྒོམ་	VERB
ལམ་	གམ་	PART
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
སྟེ་	སྟེ་	PART
།		PUNCT
རྟེན་	རྟེན་	NOUN
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
།		PUNCT
སྤང་བྱ་	སྤང་བྱ་	NOUN
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
།		PUNCT
རྟེན་པ་	རྟེན་པ་	VERB
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ནོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
རྟེན་	རྟེན་	NOUN
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ནི་	ནི་	NO_POS
།		PUNCT
འགོག་	འགོག་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
སྙོམས་འཇུག་	སྙོམས་འཇུག་	NO_POS
དགུ་	དགུ་	NUM
ར་	ལ་	PART
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
སོང་	སོང་	VERB
འོངས་	འོངས་	VERB
ན་	ནས་	PART
།།		PUNCT
ཐོད་རྒལ་	ཐོད་རྒལ་	OTHER
དུ་	ལ་	PART
ནི་	ནི་	NO_POS
སྙོམས་འཇུག་པ་	སྙོམས་འཇུག་པ་	NO_POS
།།		PUNCT
འདོད་པ་	འདོད་པ་	VERB
ར་	ལ་	PART
གཏོགས་པ་	གཏོགས་པ་	VERB
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ཤེ་	ཤེ་	VERB
།།		PUNCT
		
མཉམ་	མཉམ་	VERB
གཞག་	གཞག་	VERB
མིན་པ་	མིན་པ་	VERB
འི་	གི་	PART
མཚམས་	མཚམས་	NOUN
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
།།		PUNCT
གཅིག་	གཅིག་	NUM
དང་	དང་	NO_POS
གཉིས་	གཉིས་	NUM
གསུམ་	གསུམ་	NUM
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
ལྔ་	ལྔ་	NUM
།།		PUNCT
དྲུག་	དྲུག་	NUM
དང་	དང་	NO_POS
བདུན་	བདུན་	NUM
དང་	དང་	NO_POS
བརྒྱད་	བརྒྱད་	NUM
རྒལ་	རྒལ་	NO_POS
ན་	ནས་	PART
།།		PUNCT
འགོག་པ་	འགོག་པ་	VERB
འི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
མི་	མི་	PART
འདྲ་	འདྲ་	VERB
ར་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
སྤང་བྱ་	སྤང་བྱ་	NOUN
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
གཟུང་	གཟུང་	VERB
རྟོག་	རྟོག་	VERB
དང་	དང་	NO_POS
།		PUNCT
འཛིན་	འཛིན་	VERB
རྟོག་	རྟོག་	VERB
གོ་	གོ་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
གཟུང་	གཟུང་	VERB
རྟོག་	རྟོག་	VERB
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
འཇུག་པ་	འཇུག་པ་	VERB
གཟུང་	གཟུང་	VERB
རྟོག་	རྟོག་	VERB
དང་	དང་	NO_POS
།		PUNCT
ལྡོག་པ་	ལྡོག་པ་	VERB
གཟུང་	གཟུང་	VERB
རྟོག་	རྟོག་	VERB
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
འཇུག་པ་	འཇུག་པ་	VERB
གཟུང་	གཟུང་	VERB
རྟོག་	རྟོག་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
རྒྱ་	རྒྱ་	VERB
དང་	དང་	NO_POS
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
།།		PUNCT
བཏང་བ་	བཏང་བ་	VERB
ས་	གིས་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
མ་	མ་	PART
བཟུང་	བཟུང་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
མེད་པ་	མེད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ནི་	ནི་	NO_POS
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
།།		PUNCT
		
བཟུང་བ་	བཟུང་བ་	VERB
འི་	གི་	PART
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
འདི་	འདི་	DET
གཅིག་	གཅིག་	NUM
སྟེ་	སྟེ་	PART
།།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
འི་	གི་	PART
སྤྱོད་ཡུལ་	སྤྱོད་ཡུལ་	NOUN
ཅན་	ཅན་	PART
།།		PUNCT
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ལྡོག་པ་	ལྡོག་པ་	VERB
གཟུང་	གཟུང་	VERB
རྟོག་	རྟོག་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
སེམས་	སེམས་	NOUN
དང་སེམས་	དང་སེམས་	NO_POS
བྱུང་	བྱུང་	VERB
རྣམས་	རྣམས་	DET
།།		PUNCT
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
ཡིན་	ཡིན་	NO_POS
བཞེད་	བཞེད་	VERB
དེ་	སྟེ་	PART
།།		PUNCT
		
སེམས་	སེམས་	NOUN
མི་	མི་	PART
སྐྱེ་	སྐྱེ་	NOUN
དང་	དང་	NO_POS
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
།།		PUNCT
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	PART
མི་	མི་	PART
བྱེད་	བྱེད་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
དམན་པ་	དམན་པ་	VERB
ཡིད་བྱེད་	ཡིད་བྱེད་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཡིད་	ཡིད་	NOUN
མི་	མི་	PART
བྱེད་	བྱེད་	VERB
།།		PUNCT
		
སྒོམ་	སྒོམ་	VERB
དང་	དང་	NO_POS
སྒོམ་པ་	སྒོམ་པ་	VERB
མེད་པ་	མེད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དེ་དག་	དེ་དག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
ནི་	ནི་	NO_POS
བཟློག་	བཟློག་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
དོན་	དོན་	NOUN
མིན་	མིན་	AUX
རྣམ་རྟོག་པ་	རྣམ་རྟོག་པ་	NOUN
།།		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ལ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
འཛིན་	འཛིན་	VERB
རྟོག་	རྟོག་	VERB
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
གྱི་	གི་	PART
འཛིན་	འཛིན་	VERB
རྟོག་	རྟོག་	VERB
དགུ་	དགུ་	NUM
།		PUNCT
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
གྱི་	གི་	PART
འཛིན་	འཛིན་	VERB
རྟོག་	རྟོག་	VERB
དགུ་	དགུ་	NUM
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
གྱི་	གི་	PART
འཛིན་	འཛིན་	VERB
རྟོག་	རྟོག་	VERB
དགུ་	དགུ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
བཏགས་པ་	བཏགས་པ་	VERB
འི་	གི་	PART
སྤྱོད་ཡུལ་	སྤྱོད་ཡུལ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
ཆོ་	ཆོ་	NOUN
བཏགས་པ་	བཏགས་པ་	VERB
དང་	དང་	NO_POS
སྟོང་	སྟོང་	NUM
མིན་	མིན་	AUX
ཉིད་	ཉིད་	DET
།།		PUNCT
ཆགས་	ཆགས་	VERB
དང་	དང་	NO_POS
རབ་	རབ་	ADV
འབྱེད་	འབྱེད་	VERB
བདག་ཉིད་	བདག་ཉིད་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
དངོས་པོ་	དངོས་པོ་	NOUN
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
དང་	དང་	NO_POS
ཐེག་	ཐེག་	VERB
གསུམ་	གསུམ་	NUM
དང་	དང་	NO_POS
།།		PUNCT
		
ཡོན་	ཡོན་	NOUN
ནི་	ནི་	NO_POS
དག་པ་	དག་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
འཁྲུག་པ་	འཁྲུག་པ་	VERB
ལ་	ལ་	PART
།།		PUNCT
འཛིན་པ་	འཛིན་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
ཏེ་	སྟེ་	PART
།།		PUNCT
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
བསྒྲགས་པ་	བསྒྲགས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
གྱི་	གི་	PART
འཛིན་	འཛིན་	VERB
རྟོག་	རྟོག་	VERB
དགུ་	དགུ་	NUM
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
དོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
བཏགས་	བཏགས་	VERB
དང་	དང་	NO_POS
དེ་	དེ་	DET
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ཡི་	གི་	PART
།།		PUNCT
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
དེ་	སྟེ་	PART
ཡི་	གིས་	PART
རྣམ་	རྣམ་	NOUN
འཇོམས་པ་	འཇོམས་པ་	VERB
ས་	གིས་	PART
།།		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
དང་	དང་	NO_POS
འབྲེལ་པ་	འབྲེལ་པ་	VERB
ཡི་	གི་	PART
།།		PUNCT
མི་	མི་	PART
མཐུན་	མཐུན་	VERB
ཕྱོགས་	ཕྱོགས་	NOUN
གཞན་	གཞན་	DET
རྣམ་པ་	རྣམ་པ་	NOUN
དགུ་	དགུ་	NUM
།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
ནི་	ནི་	NO_POS
།།		PUNCT
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སྒྲིབ་པ་	སྒྲིབ་པ་	VERB
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
དང་	དང་	NO_POS
།།		PUNCT
ཞི་	ཞི་	VERB
ལམ་	གམ་	PART
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
།།		PUNCT
མཚུངས་པ་	མཚུངས་པ་	VERB
ར་	ལ་	PART
